"target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"MSTRG.16562",0.000337689258630137,0.002147385772723,0.336832379839127,0.0939684239347567,7.09791459157485,0.0386937016990987,0.00693858645028244,-0.00111747886694329,0.00630651059489079,0.00630651059489079
"PSD4",0.000337996618802613,0.00214875223926061,0.509776970342379,0.142225376970875,4.76306405472657,0.10028797900521,0.00823305184411648,0.0196747121030998,0.0221090349376448,0.0221090349376448
"MSH6",0.000339198074945198,0.00215580045662654,0.244967038059283,0.0683623191065511,8.25439499692489,0.0228126169631378,0.00184497518085102,0.0041674773722437,0.00516513482958786,0.00516513482958786
"ZBED3",0.000339364765451947,0.00215627008204578,-0.703429035490335,0.196311153075995,3.76948728066262,0.164356345593095,0.014863245279387,0.00502753372290888,0.0429438579536532,0.0429438579536532
"JKAMP",0.000339792071911655,0.00215780502403367,-0.242565651425524,0.0677008015010724,7.61976780768534,0.0192357786518743,0.0012701344315406,0.000710303163994019,0.0056049633542908,0.0056049633542908
"TRA2A",0.000339716306986107,0.00215780502403367,0.253511119582901,0.0707545646243647,7.07432833002796,0.0215266390975516,0.0011612238881558,0.00164661707671746,0.00634808873461931,0.00634808873461931
"MSTRG.17021",0.000339935606297727,0.00215812670708579,0.763399860782962,0.213073751192899,4.64419694060785,0.21961878673903,0.0441392338835565,0.0118419942489387,0.0239614012875637,0.0239614012875637
"FKBP10",0.000343239510142443,0.00217850676254296,0.246358548370044,0.0688100496623231,7.17914455795112,0.0212582434042623,0.000930877791790397,0.00288222608041406,0.00617135661000666,0.00617135661000666
"CDC42",0.000343367446763975,0.00217872364637022,-0.642210153184157,0.179379667279481,5.78454970788336,0.162342642295801,0.0131404243771593,0.0351251731727868,0.01114404175555,0.0351251731727868
"CRIP3",0.000343642238702083,0.00217987197883745,-1.07201745975551,0.299449273019796,3.21945474678698,0.384286519365054,0.0683957298081179,-0.018995618359543,0.066109070860009,0.066109070860009
"SLC5A3",0.000344613035281125,0.002184837240871,0.275346263816994,0.0769289911230343,7.35306841107967,0.029846353109643,0.000775685607413405,0.00810141890539842,0.00591873422786779,0.00810141890539842
"ITPR3",0.000344552584868228,0.002184837240871,0.423482988407946,0.118315394167443,7.81419362572601,0.0705995914376745,0.00102142050522055,0.0199763782402754,0.00542654819211034,0.0199763782402754
"RP11-680A11.5",0.000345043986496742,0.00218697274147253,1.01961161332108,0.284895282995022,3.1610380438446,0.384799935140983,0.0524553703089354,0.0386916078600859,0.0692926131002852,0.0692926131002852
"ARRB2",0.000345961301874534,0.00219218893110354,-0.282923266854225,0.0790684775168893,7.22398318151617,0.0315158614424466,0.000609229228388666,0.00876850697686958,0.00610181452582302,0.00876850697686958
"MSTRG.807",0.000346689346007261,0.00219560469987046,0.388591226485455,0.108616152461125,6.63288608040275,0.0554064904465603,0.0103336751314507,0.00229825993869827,0.00736252773173699,0.00736252773173699
"MSTRG.1266",0.000346612476804696,0.00219560469987046,-0.635817342812131,0.177716092401879,5.57368880773513,0.140990609739041,0.0347083898602846,-0.0100690127192372,0.012666124387605,0.012666124387605
"PADI3",0.000347652499174056,0.00220110448795868,0.901397988453467,0.252003212646149,4.18124157066585,0.294814693543929,0.06293400197531,0.000889989859117146,0.0323244268006599,0.0323244268006599
"FOXS1",0.000348193533809231,0.00220392943383037,3.21605978747071,0.89921384649826,2.57526256455616,4.07321481705689,0.062786678829908,1.15009163377139,0.109636330192486,1.15009163377139
"FAM200A",0.000348334168349142,0.00220421915461892,0.368847922595141,0.103133329454059,5.55610984179481,0.0449236646182698,0.00314870064060578,0.00198758388119948,0.0128060248258135,0.0128060248258135
"CYBB",0.00034909318380338,0.0022084206966663,-1.93220100840095,0.540347491027026,1.62381839738448,1.26226605233596,0.226451886877643,-0.0486445977823094,0.21151122971116,0.21151122971116
"CCL26",0.000349355814838468,0.00220948059705679,0.951520025968853,0.266110898047058,3.45447904956911,0.326678878937191,0.0514612392265952,0.0173659745124805,0.0547612758625227,0.0547612758625227
"MSTRG.5070",0.000353547861538786,0.00223538451992251,1.06626076889499,0.298460901615203,6.46542547046189,0.447968299936914,0.0384404251966748,0.0951779394927652,0.00789189617074091,0.0951779394927652
"NAV2",0.000353786999490855,0.00223614454225147,1.55438615749972,0.435115401342446,4.53106120215778,0.952025392970505,0.0657594786218188,0.218228640106278,0.0258058281478989,0.218228640106278
"TNFSF9",0.000353860538899063,0.00223614454225147,-0.62135682677491,0.173937500627585,4.41386700253198,0.129645604181094,0.0175530139058105,-0.000277623496862063,0.0278283672810459,0.0278283672810459
"ADRA2A",0.000354245933651569,0.00223797131982813,-2.38391681672188,0.667387236613438,1.52671228289965,2.23940468502824,0.167420480978895,0.500688104412887,0.225072833964301,0.500688104412887
"RP11-76C10.6",0.000354911950635587,0.00224035155799198,-0.875470851717169,0.245125386598443,3.55772345321885,0.273872001192192,0.0396484407869649,0.0152731061258808,0.0504812419455891,0.0504812419455891
"CLIP2",0.000354835573708626,0.00224035155799198,-0.647347824427757,0.181249760104123,5.19115290506678,0.165139532382767,0.0119068663995049,0.0373703469071984,0.0162982707844941,0.0373703469071984
"MSTRG.27848",0.000354785035040716,0.00224035155799198,-0.306491220085302,0.0858130326639712,6.6337103392672,0.0296660319088245,0.00368567286033084,-0.0018294584703164,0.00736014200215085,0.00736014200215085
"MSTRG.1128",0.000355246952834328,0.00224149031826139,0.849186547719599,0.237782423572725,4.28820249004865,0.270872421434898,0.054647388974196,0.0135239655089529,0.030163332465982,0.030163332465982
"FZD8",0.000355381749547038,0.00224149031826139,1.42601027992338,0.399311098767393,5.77255447900142,0.801390819852731,0.00460013790774323,0.234573892490491,0.0112231134058227,0.234573892490491
"KCNJ2",0.0003553692753821,0.00224149031826139,0.864691698691338,0.242130164420686,3.29104624672456,0.259725866949248,0.0255324472942223,0.0187404862226963,0.0624080774893606,0.0624080774893606
"HEXB",0.000355690884515479,0.00224283131413885,-0.260758473757263,0.0730221890598595,6.69762030144823,0.0215442422773508,0.000816843047270467,0.000615341685837201,0.00718151709537032,0.00718151709537032
"FAM175A",0.000355813846492224,0.00224299797533731,0.45589496360588,0.127670988628954,5.64057277989404,0.0819119229573559,0.00684035910776406,0.0176094628984777,0.0121524660159791,0.0176094628984777
"SGCD",0.000356373206914406,0.00224591479139222,-0.629356499441138,0.176268288931951,5.70440397303495,0.156111492636238,0.00435037709981494,0.0422553874246816,0.0116892680240279,0.0422553874246816
"MSTRG.4558",0.000356835212126803,0.00224821664560152,-0.987852705170543,0.276701134972028,3.25280405661805,0.347332838460545,0.0504874683449208,0.0177337170634759,0.0643578087972919,0.0643578087972919
"IFIT5",0.000357141835579738,0.00224938705595849,0.278862719928781,0.07811538494295,6.5208805494386,0.0239507778008212,0.00144575688976776,-0.000668940851020558,0.00770726315741012,0.00770726315741012
"FAHD2B",0.000357214591000466,0.00224938705595849,0.399239958559598,0.111837284042266,5.30694218741316,0.052144102935374,0.00372068043523715,0.00168724404247937,0.0150406867176886,0.0150406867176886
"DDX3X",0.000357377737152799,0.00224980468720738,-0.224488470007464,0.062887047093605,8.3389428797649,0.0166372079349145,0.00079587778614361,0.00110247969514034,0.00513629325208633,0.00513629325208633
"TXNDC15",0.000359202085150714,0.00226049906167546,0.343443868692658,0.0962465727429242,6.31902772899101,0.0452463505503283,0.00547154911183459,0.00685375497260801,0.00842355503530391,0.00842355503530391
"SPOCD1",0.000359271089463225,0.00226049906167546,2.18611821230507,0.612645538100921,4.04283007259403,1.88413531787754,0.0471625721196388,0.515839260912811,0.0354243383803637,0.515839260912811
"MSTRG.24420",0.000359535808577302,0.00226094020246338,0.503971605901276,0.141242434602804,7.14127970122035,0.100135524265446,0.00104944302662595,0.0288746949721653,0.00623284386316255,0.0288746949721653
"ZNF706",0.000359469406032268,0.00226094020246338,-0.283045493365994,0.0793248900668905,6.47131464068427,0.0248224863846239,0.00156677300894345,-0.000581696771212871,0.00787188426724295,0.00787188426724295
"MANEAL",0.000359662496250525,0.0022611249358434,0.391180820424484,0.109634670978874,5.87602869091455,0.0491129839224547,0.00745998934707879,-0.00345217229450005,0.0105696522738901,0.0105696522738901
"EP300",0.000360236148446305,0.00226350652928565,-0.227683012545504,0.0638192708810691,7.57904606784704,0.0197572750308246,0.000461791098912572,0.004794969863945,0.00564755790477434,0.00564755790477434
"SDR16C5",0.000360158348254171,0.00226350652928565,-1.99484630360032,0.559144114422028,1.59327537366516,1.27132016607402,0.253259019430329,-0.156388227458246,0.215704191608861,0.215704191608861
"WARS",0.000360531411338232,0.00226474935762508,0.252292990309146,0.0707216747101402,6.89658737910136,0.0206463988912689,0.000803570507794935,0.00113502074661703,0.0066987624029154,0.0066987624029154
"CDC42EP1",0.00036095592528258,0.0022668032107746,-0.497188424462921,0.139381750846121,5.42229372303557,0.0974716257886922,0.00161749804535815,0.0275234106580369,0.013939538681428,0.0275234106580369
"HSPA1L",0.000361229075422603,0.002267822669459,0.782947404074849,0.219503596003367,3.75182381719549,0.213444386477414,0.0287610678792195,0.00816692613721823,0.0435116751083948,0.0435116751083948
"GPR65",0.000361313458527165,0.002267822669459,-2.10023032421055,0.588821190841606,0.733275571735008,1.50516869946817,0.155390005398602,0.0719580884115227,0.364675586777589,0.364675586777589
"PCDHGC3",0.000363169669874732,0.00227885780426932,-0.833984043054736,0.233904120677454,4.34925297522004,0.274312180424848,0.0108877334092261,0.0711789730956134,0.0290045293952035,0.0711789730956134
"UXS1",0.000365934040938702,0.00229434521728324,0.319022440164947,0.089524872926553,5.89572290655116,0.0347336570126469,0.00156954908160632,0.00368177818590335,0.0104525052271669,0.0104525052271669
"RIPK4",0.000365761012778036,0.00229434521728324,-0.794625094545565,0.222981911420601,5.95371533300784,0.249093831649406,0.00282923957714857,0.0717521596540283,0.0101206349405515,0.0717521596540283
"SEPT5",0.000365903976917824,0.00229434521728324,0.452342340048853,0.126936667902931,5.59248618715528,0.0704573181241781,0.0116505808622668,-0.000309030432371644,0.0125187956251817,0.0125187956251817
"BEND7",0.000366166996768539,0.00229518649498618,-0.633224480924655,0.177705360340296,4.98963815573529,0.158187007085098,0.0181583594918729,0.0292104331486387,0.0188285305190392,0.0292104331486387
"MPC2",0.000366570400138396,0.0022964139982483,-0.47722898321566,0.133938323200581,6.85316167858219,0.0898516200324552,0.00104332974444105,0.0258658818882339,0.00679536277129814,0.0258658818882339
"MSTRG.18104",0.000366659318880237,0.0022964139982483,3.00321673389735,0.842893061522584,2.35591350243601,3.55835568102382,0.544360760881945,0.521342308862426,0.128709722065941,0.521342308862426
"HRH2",0.000366539051891913,0.0022964139982483,-1.23331450586689,0.346137896702702,2.96655030756157,0.535320870425833,0.0987384813748839,1.33552642774537e-05,0.080978683925772,0.080978683925772
"BIN1",0.00036760593275898,0.00230172229953858,-0.612151858750499,0.171841265242073,6.88865036724418,0.147854273979503,0.00835507842007002,0.0359390522399249,0.00671607679409034,0.0359390522399249
"ITFG1",0.000368178826544855,0.00230406765784978,-0.275615695540176,0.0773788135845521,6.94977041679037,0.0299741804385319,0.00111225412215857,0.00786896706547073,0.00658655478256902,0.00786896706547073
"PKI55",0.000368134074680852,0.00230406765784978,0.323761510697985,0.0908948858186107,6.06648325084483,0.0345421227716375,0.0028635431756821,0.00100604186032434,0.00952927722628532,0.00952927722628532
"C11orf1",0.000369474583020189,0.00231155396097391,0.426573728747793,0.119791137283627,5.25326072942113,0.065208679457076,0.00591983210424883,0.00735408744542268,0.0156050427533084,0.0156050427533084
"PDCD11",0.0003704673584501,0.00231714119540957,0.385984006919681,0.108414115042313,5.29809269602029,0.0510365625604607,0.00249896036557973,0.00542787273583129,0.015131470145032,0.015131470145032
"SLC25A44",0.000371504575768344,0.00232300331607999,-0.257753849410429,0.0724121179593528,7.51513011939691,0.026223331858599,0.00213569923657409,0.00572957300446475,0.0057181951057222,0.00572957300446475
"ACAD8",0.00037309412587226,0.00233231506827222,0.366761576032639,0.103068693976955,5.67330425269496,0.0474138763338994,0.00402304139630373,0.00480153390084096,0.0119116921208691,0.0119116921208691
"RPL35A",0.000373656503205022,0.0023352023960387,0.210051472259543,0.0590360062770413,8.8561804145174,0.0158613159295535,0.000124594604078991,0.00315644243346216,0.0051032804516353,0.0051032804516353
"NEBL",0.0003743667925791,0.0023390123130863,-0.784362498097916,0.220479884451367,3.70172877264015,0.233488311392541,0.0277357942531812,0.0334153968290938,0.0451812749183512,0.0451812749183512
