"target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"PDRG1",0.00938065514672274,0.0390605962713572,6.7488800025417,0.0471059671571884,1,6.78082160007351,0.00942119343143765,0.00122241296228035,0.00819878046915733,0.0184960359673991,0.0184960359673991
"C5",0.0093839242027527,0.039067291449874,6.74825834483157,0.135824660747811,1,5.29726451416474,0.0271649321495616,0.0009233421672791,0.026241589982283,0.0352923291393922,0.0352923291393922
"KIF13B",0.00939677649725004,0.0391134292343032,6.74581644593026,3.13052791181615,1,4.47440521103943,0.62610558236323,0.350890746851999,0.275214835511232,0.0602875958520893,0.275214835511232
"MSTRG.28760",0.00939833270699242,0.0391134292343032,6.7455210027837,1.65069537077788,1,3.98188502376947,0.330139074155576,0.0342847373172829,0.295854336838293,0.0807920518525131,0.295854336838293
"ZNF691",0.00941110429587623,0.0391141627582083,6.74309823492279,0.152793361097275,1,5.56021448283428,0.0305586722194551,0.00616753440162358,0.0243911378178314,0.0303962769625355,0.0303962769625355
"MSTRG.4413",0.00940313100518281,0.0391141627582083,6.74461037130593,0.979673489483402,1,4.00817507910395,0.19593469789668,0.0209327167116153,0.175001981185065,0.0795278077972973,0.175001981185065
"TMEM216",0.00940212252648174,0.0391141627582083,6.74480172307729,0.325747251505998,1,5.11267601868465,0.0651494503011997,0.0199449900790768,0.0452044602221229,0.0395966949195391,0.0452044602221229
"STK24",0.00940585822299088,0.0391141627582083,6.74409300609501,0.0880213427627217,1,7.76735453463418,0.0176042685525442,0.00262440797314021,0.0149798605794041,0.01534925790458,0.01534925790458
"EMR1",0.00941181422947108,0.0391141627582083,6.74296365948407,4.95905649255278,1,4.42161221997014,0.991811298510556,0.0256352359060232,0.966176062604532,0.0622326712652461,0.966176062604532
"WDR82",0.00940396468774891,0.0391141627582083,6.74445220174798,0.211483423401524,1,6.85695565119364,0.0422966846803047,0.00458039610433339,0.0377162885759713,0.0181243774071369,0.0377162885759713
"MSTRG.24549",0.00940752000979367,0.0391141627582083,6.74377783316427,0.0460943513463939,1,7.30281869274957,0.0092188702692788,0.00160274368365383,0.00761612658562496,0.0164481980479818,0.0164481980479818
"ZMAT1",0.00940900779111086,0.0391141627582083,6.74349571032984,6.4966709947888,1,1.24385684017544,1.29933419895776,0.0831694271926828,1.21616477176508,0.529340369453696,1.21616477176508
"ATN1",0.00941526027420831,0.0391215708708182,6.74231057286943,0.0744757212370004,1,7.41802813772459,0.0148951442474,0.00286202427804356,0.0120331199693565,0.0161208253279137,0.0161208253279137
"BTN3A2",0.00941783187492673,0.039125343584972,6.74182336842299,0.585496197025627,1,4.17693794630127,0.117099239405126,0.0150320143167204,0.102067225088405,0.0719441767263967,0.102067225088405
"MSTRG.28098",0.0094236157445776,0.0391355456614826,6.74072807900254,0.185984033304208,1,5.73331305170526,0.0371968066608416,0.00343930110759332,0.0337575055532484,0.0277246878170748,0.0337575055532484
"LCA5",0.00942220376948485,0.0391355456614826,6.74099540069852,0.367119210772212,1,4.66429122981676,0.0734238421544425,0.0122743423614839,0.0611494997929586,0.0535741297966872,0.0611494997929586
"ZDHHC6",0.00943016422868892,0.0391558266826105,6.73948882565908,0.104606964750106,1,6.40981025958917,0.0209213929500216,0.00225596069615424,0.018665432253867,0.0208264712921864,0.0208264712921864
"SPAG9",0.00943494086866157,0.03916026549963,6.73858543690028,0.0745661507255796,1,6.60380728474121,0.0149132301451159,0.000900704052486167,0.0140125260926297,0.0194897703763066,0.0194897703763066
"GACAT2",0.00943611407094864,0.03916026549963,6.73836362503035,0.85197938971333,1,5.42672092129297,0.170395877942666,0.00500316159279648,0.165392716349869,0.0327515998251762,0.165392716349869
"SNHG5",0.0094362286158008,0.03916026549963,6.73834197008453,0.152826187507126,1,9.28879035560733,0.0305652375014256,0.000221949817852455,0.0303432876835728,0.0154450483591754,0.0303432876835728
"DLAT",0.00943857585768811,0.0391630958047122,6.73789827833977,0.116335343261874,1,7.04700721759683,0.0232670686523752,0.00120899057307995,0.0220580780792948,0.0173179015932374,0.0220580780792948
"ELAC1",0.00945306689393561,0.0392024734987793,6.73516158370505,0.346376226834147,1,4.83364883984404,0.0692752453668292,0.0154823602221041,0.0537928851447254,0.0478453104521225,0.0537928851447254
